Number of nodes: 34
Number of edges: 173
Number of CESs: 81
Number of events: 663
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	access as a teacher, turn editing on, open class records, select the existing schedule
1	access as a teacher, turn editing on, open class records, select the existing class
14	access as a teacher, turn editing on, add new class, enter the name of the class
14	access as a teacher, turn editing on, add new class, enter the class detail
7	access as a teacher, turn editing on, select the editable class, update the name of the class
7	access as a teacher, turn editing on, select the editable class, update the class detail
7	access as a teacher, turn editing on, add new schedule, enter the days of the class
7	access as a teacher, turn editing on, add new schedule, enter the hours of the class
7	access as a teacher, turn editing on, select the editable schedule, update the days of the class
7	access as a teacher, turn editing on, select the editable schedule, update the hours of the class
2	access as a teacher, turn editing on, open student attendance records, open class records
2	access as a teacher, turn editing on, open student attendance records, select a class-list attendance record
1	access as a teacher, turn editing on, open student attendance records, select an editable student-record
2	log in, access as a teacher, turn editing on, open class records
28	log in, access as a teacher, turn editing on, add new class
14	log in, access as a teacher, turn editing on, select the editable class
14	log in, access as a teacher, turn editing on, add new schedule
14	log in, access as a teacher, turn editing on, select the editable schedule
5	log in, access as a teacher, turn editing on, open student attendance records
1	turn editing on, open class records, select the existing schedule, view schedule
1	turn editing on, open class records, select the existing class, view class
2	add new class, enter the name of the class, enter the class detail, enter the name of the class
2	add new class, enter the name of the class, enter the class detail, submit the class
2	add new class, enter the name of the class, enter the class detail, enter the class detail
2	add new class, enter the name of the class, enter the name of the class, enter the class detail
2	add new class, enter the name of the class, enter the name of the class, submit the class
2	add new class, enter the name of the class, enter the name of the class, enter the name of the class
2	enter the name of the class, enter the class detail, enter the name of the class, enter the class detail
2	enter the name of the class, enter the class detail, enter the name of the class, submit the class
2	enter the name of the class, enter the class detail, enter the name of the class, enter the name of the class
2	enter the name of the class, enter the class detail, enter the class detail, enter the name of the class
2	enter the name of the class, enter the class detail, enter the class detail, submit the class
2	enter the name of the class, enter the class detail, enter the class detail, enter the class detail
2	add new class, enter the class detail, enter the name of the class, enter the class detail
2	add new class, enter the class detail, enter the name of the class, submit the class
2	add new class, enter the class detail, enter the name of the class, enter the name of the class
2	add new class, enter the class detail, enter the class detail, enter the name of the class
2	add new class, enter the class detail, enter the class detail, submit the class
2	add new class, enter the class detail, enter the class detail, enter the class detail
2	enter the class detail, enter the name of the class, enter the class detail, enter the name of the class
2	enter the class detail, enter the name of the class, enter the class detail, submit the class
2	enter the class detail, enter the name of the class, enter the class detail, enter the class detail
2	enter the class detail, enter the name of the class, enter the name of the class, enter the class detail
2	enter the class detail, enter the name of the class, enter the name of the class, submit the class
2	enter the class detail, enter the name of the class, enter the name of the class, enter the name of the class
2	enter the name of the class, enter the name of the class, enter the class detail, enter the name of the class
2	enter the name of the class, enter the name of the class, enter the class detail, submit the class
2	enter the name of the class, enter the name of the class, enter the class detail, enter the class detail
2	enter the name of the class, enter the name of the class, enter the name of the class, enter the class detail
2	enter the name of the class, enter the name of the class, enter the name of the class, submit the class
2	enter the name of the class, enter the name of the class, enter the name of the class, enter the name of the class
2	enter the class detail, enter the class detail, enter the name of the class, enter the class detail
2	enter the class detail, enter the class detail, enter the name of the class, submit the class
2	enter the class detail, enter the class detail, enter the name of the class, enter the name of the class
