PUC ID,Scenario ID,m=2,m=3,m=4,m=5,Number of Seeded Faults,
0123,0045,52,72,110,178,82
0210,0962,72,112,185,320,138
0352,1341,58,68,77,72,55
0444,1706,58,83,127,194,92
0487,1658,67,106,180,319,134
0813,3493,75,117,192,327,142
0816,3445,76,117,192,328,143
1005,0573,69,109,184,323,137
1107,4365,78,136,250,458,184
1116,4852,87,147,262,470,193
1231,3942,62,87,131,197,95
1234,5283,67,94,139,206,101
1246,5188,67,94,139,207,101
1412,2217,94,153,264,470,196
1432,5914,83,143,259,468,191
1451,6050,86,143,255,466,190
1493,2511,72,115,189,324,140
1562,6361,85,142,251,457,187
1634,3225,73,115,190,327,141
1803,7500,67,108,186,322,137
2027,4971,97,175,326,606,241
2079,8577,75,117,192,329,143
2183,5615,88,147,258,466,192
2211,7119,94,156,273,482,201
2279,8178,104,181,328,605,244
2307,6051,96,171,319,601,237
2328,7349,108,188,341,620,251
2390,9436,97,178,339,653,253
2413,9432,106,192,356,671,265
2655,9379,112,198,367,683,272
