Number of nodes: 30
Number of edges: 119
Number of CESs: 54
Number of events: 432
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	access as a teacher, turn editing on, open class records, select the existing schedule
1	access as a teacher, turn editing on, open class records, select the existing class
1	access as a teacher, turn editing on, select the deletable class, delete class
14	access as a teacher, turn editing on, add new class, enter the name of the class
14	access as a teacher, turn editing on, add new class, enter the class detail
7	access as a teacher, turn editing on, select the editable class, update the name of the class
7	access as a teacher, turn editing on, select the editable class, update the class detail
2	access as a teacher, turn editing on, open student attendance records, open class records
2	access as a teacher, turn editing on, open student attendance records, select a class-list attendance record
1	access as a teacher, turn editing on, open student attendance records, select an editable student-record
2	log in, access as a teacher, turn editing on, open class records
1	log in, access as a teacher, turn editing on, select the deletable class
28	log in, access as a teacher, turn editing on, add new class
14	log in, access as a teacher, turn editing on, select the editable class
5	log in, access as a teacher, turn editing on, open student attendance records
1	turn editing on, open class records, select the existing schedule, view schedule
1	turn editing on, open class records, select the existing class, view class
1	delete class, confirm deletion, select the deletable class, delete class
1	select the deletable class, delete class, confirm deletion, select the deletable class
1	confirm deletion, select the deletable class, delete class, confirm deletion
1	turn editing on, select the deletable class, delete class, confirm deletion
2	add new class, enter the name of the class, enter the class detail, enter the name of the class
2	add new class, enter the name of the class, enter the class detail, submit the class
2	add new class, enter the name of the class, enter the class detail, enter the class detail
2	add new class, enter the name of the class, enter the name of the class, enter the class detail
2	add new class, enter the name of the class, enter the name of the class, submit the class
2	add new class, enter the name of the class, enter the name of the class, enter the name of the class
2	enter the name of the class, enter the class detail, enter the name of the class, enter the class detail
2	enter the name of the class, enter the class detail, enter the name of the class, submit the class
2	enter the name of the class, enter the class detail, enter the name of the class, enter the name of the class
2	enter the name of the class, enter the class detail, enter the class detail, enter the name of the class
2	enter the name of the class, enter the class detail, enter the class detail, submit the class
2	enter the name of the class, enter the class detail, enter the class detail, enter the class detail
2	add new class, enter the class detail, enter the name of the class, enter the class detail
2	add new class, enter the class detail, enter the name of the class, submit the class
2	add new class, enter the class detail, enter the name of the class, enter the name of the class
2	add new class, enter the class detail, enter the class detail, enter the name of the class
2	add new class, enter the class detail, enter the class detail, submit the class
2	add new class, enter the class detail, enter the class detail, enter the class detail
2	enter the class detail, enter the name of the class, enter the class detail, enter the name of the class
2	enter the class detail, enter the name of the class, enter the class detail, submit the class
2	enter the class detail, enter the name of the class, enter the class detail, enter the class detail
2	enter the class detail, enter the name of the class, enter the name of the class, enter the class detail
2	enter the class detail, enter the name of the class, enter the name of the class, submit the class
2	enter the class detail, enter the name of the class, enter the name of the class, enter the name of the class
2	enter the name of the class, enter the name of the class, enter the class detail, enter the name of the class
2	enter the name of the class, enter the name of the class, enter the class detail, submit the class
2	enter the name of the class, enter the name of the class, enter the class detail, enter the class detail
2	enter the name of the class, enter the name of the class, enter the name of the class, enter the class detail
2	enter the name of the class, enter the name of the class, enter the name of the class, submit the class
2	enter the name of the class, enter the name of the class, enter the name of the class, enter the name of the class
2	enter the class detail, enter the class detail, enter the name of the class, enter the class detail
2	enter the class detail, enter the class detail, enter the name of the class, submit the class
2	enter the class detail, enter the class detail, enter the name of the class, enter the name of the class
